step,gt_x,gt_y,gt_theta,bel_x,bel_y,bel_theta,bel_prob,err_x,err_y
0,0.278,-0.082,-38.866,0.305,0.0,-50.0,1.0,-0.026,-0.082
1,0.497,-0.503,297.452,0.305,-0.61,-70.0,1.0,0.192,0.107
2,0.509,-0.525,645.228,0.61,-0.61,-70.0,1.0,-0.101,0.084
3,0.601,-0.894,1004.082,0.61,-0.914,-70.0,1.0,-0.008,0.021
4,0.789,-0.975,1439.043,0.914,-0.914,10.0,1.0,-0.125,-0.061
5,1.447,-0.83,1849.92,1.524,-0.914,50.0,1.0,-0.077,0.084
6,1.541,-0.456,2235.861,1.829,-0.305,90.0,1.0,-0.287,-0.151
7,1.631,-0.099,2599.777,1.829,-0.305,70.0,1.0,-0.198,0.205
8,1.665,0.333,2977.829,1.524,0.305,90.0,0.9998485,0.141,0.028
9,1.69,0.535,3381.179,1.524,0.61,150.0,1.0,0.166,-0.075
10,1.353,0.806,3752.259,1.524,0.61,150.0,1.0,-0.171,0.197
11,0.828,0.824,4202.196,0.914,0.914,-110.0,1.0,-0.087,-0.09
12,0.623,0.394,4604.985,0.61,0.305,-70.0,0.5191809,0.013,0.089
13,-0.013,0.006,4908.082,0.0,0.0,-130.0,1.0,-0.013,0.006
14,-0.284,-0.163,5257.093,-0.305,0.0,-150.0,0.6373902,0.02,-0.163
15,-0.543,-0.227,5599.802,-0.61,-0.305,-170.0,0.999997,0.067,0.077
